# {"t_start": 1593291957.1406322, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-69.0648433715105,100,4631.207062,-62.064843371510506,-5.0,-2.0
-174.91829673200846,100,4658.400263,-174.91829673200846,0.0,0.0
-146.25667636841536,100,4659.058796,-143.25667636841536,-2.0,-1.0
-121.9724815133959,100,4659.763395,-121.9724815133959,0.0,0.0
-118.506881557405,100,4660.416827,-108.506881557405,-10.0,0.0
-95.4927419591695,100,4661.090861,-95.4927419591695,0.0,0.0
-95.04582400619984,100,4661.773416,-65.04582400619984,-16.0,-14.0
-103.51105313003063,100,4662.468998,-103.51105313003063,0.0,0.0
-117.20537481177598,100,4663.105223,-105.20537481177598,-7.0,-5.0
-71.63218352477998,100,4663.765976,-69.63218352477998,-1.0,-1.0
-153.6183756981045,100,4664.464231,-135.6183756981045,-9.0,-9.0
-84.95809416845441,100,4693.128632,-80.95809416845441,-2.0,-2.0
-127.8966508153826,100,4693.803137,-122.8966508153826,0.0,-5.0
-93.48513301089406,100,4694.501113,-93.48513301089406,0.0,0.0
-121.41633655130863,100,4695.237572,-116.41633655130863,-2.0,-3.0
-114.54999986290932,100,4695.93803,-108.54999986290932,-3.0,-3.0
-133.2795464489609,100,4696.640438,-133.2795464489609,0.0,0.0
-104.30675122328103,100,4697.322565,-100.30675122328103,0.0,-4.0
-139.11576652899384,100,4697.996585,-139.11576652899384,0.0,0.0
-124.97564777266234,100,4698.649846,-122.97564777266234,-2.0,0.0
-83.68677622498944,100,4699.359721,-78.68677622498944,-5.0,0.0
-64.89168611634523,100,4727.160027,-60.89168611634523,-3.0,-1.0
-127.17566287890077,100,4727.815135,-105.17566287890077,-17.0,-5.0
-116.27192545775324,100,4728.493169,-113.27192545775324,0.0,-3.0
-100.6873888107948,100,4729.177719,-100.6873888107948,0.0,0.0
-144.1305542141199,100,4729.86782,-121.13055421411991,-22.0,-1.0
-110.98551257268991,100,4730.547307,-110.98551257268991,0.0,0.0
-81.71372487582266,100,4731.254668,-77.71372487582266,-2.0,-2.0
-72.77216831594706,100,4731.947685,-71.77216831594706,0.0,-1.0
-89.66019112616777,100,4732.631707,-85.66019112616777,-2.0,-2.0
-196.01283194310963,100,4733.296059,-192.01283194310963,-3.0,-1.0
