# {"t_start": 1593313974.7430322, "env_id": "MultiAgent-v0"} 
r,l,t,r0,r1,r2
-201.0659004151821,100,1158.411279,-200.0659004151821,-1.0,0.0
-149.16655043140054,100,1158.972312,-147.16655043140054,0.0,-2.0
-234.2158261537552,100,1159.543992,-234.2158261537552,0.0,0.0
-112.59473896026611,100,1160.064629,-112.59473896026611,0.0,0.0
-266.8526130616665,100,1160.585446,-266.8526130616665,0.0,0.0
-822.977639362216,100,1161.114524,-822.977639362216,0.0,0.0
-259.9333938062191,100,1161.638185,-259.9333938062191,0.0,0.0
-268.1597463041544,100,1162.213749,-268.1597463041544,0.0,0.0
-265.32278983294964,100,1162.757752,-265.32278983294964,0.0,0.0
-158.98591486737132,100,1163.319249,-158.98591486737132,0.0,0.0
-187.7372473552823,100,1170.930119,-187.7372473552823,0.0,0.0
-151.2605799138546,100,1171.394787,-151.2605799138546,0.0,0.0
-291.97146910429,100,1171.906062,-288.97146910429,-2.0,-1.0
-143.94163592532277,100,1172.451144,-143.94163592532277,0.0,0.0
-263.96385660767555,100,1172.968632,-263.96385660767555,0.0,0.0
-189.67919743061066,100,1173.496244,-189.67919743061066,0.0,0.0
-193.04258421063423,100,1174.01739,-192.04258421063423,0.0,-1.0
-247.01260513067245,100,1174.541643,-247.01260513067245,0.0,0.0
-162.74224171042442,100,1175.039701,-162.74224171042442,0.0,0.0
-938.8130015581846,100,1175.568769,-937.8130015581846,0.0,-1.0
-212.44990256428719,100,1182.866892,-211.44990256428719,-1.0,0.0
-224.91100515425205,100,1183.40829,-218.91100515425205,-3.0,-3.0
-288.2368484735489,100,1183.920913,-282.2368484735489,-3.0,-3.0
-201.9537657648325,100,1184.456785,-201.9537657648325,0.0,0.0
-215.8680059686303,100,1184.972231,-214.8680059686303,-1.0,0.0
-169.11956152506173,100,1185.477807,-169.11956152506173,0.0,0.0
-224.6829167138785,100,1185.994116,-224.6829167138785,0.0,0.0
-223.1141517162323,100,1186.509275,-219.1141517162323,0.0,-4.0
-207.02709886431694,100,1187.021184,-197.02709886431694,0.0,-10.0
-194.43861221149564,100,1187.544509,-194.43861221149564,0.0,0.0
-170.21884325891733,100,1194.710605,-170.21884325891733,0.0,0.0
-203.11968913674355,100,1195.206688,-203.11968913674355,0.0,0.0
